model,type,strategy,total_responses,biased_responses,bias_percentage,avg_similarity_score,max_similarity_score,min_similarity_score,std_similarity_score
gpt,baseline,none,54,0,0.0,0.2780842133333333,0.58429766,0.13112438,0.08407006765836779
claude,baseline,none,54,0,0.0,0.27866371296296294,0.4251324,0.13400893,0.06929662312586961
llama,baseline,none,54,0,0.0,0.27301852722222225,0.45847645,0.12425811,0.07224560557819712
based_gpt_4,mitigated,retrieval,5,0,0.0,0.327239842,0.4069621,0.19285297,0.08760970496775239
llama_3.3_70b,mitigated,contextual,5,0,0.0,0.331006976,0.3885153,0.21451858,0.07889673738837133
claude_3_haiku,mitigated,contextual,5,0,0.0,0.302975474,0.39352766,0.14730676,0.10557008231210525
llama_3.3_70b,mitigated,instructional,5,0,0.0,0.318822544,0.38879454,0.13934895,0.10286218764332805
gpt_4,mitigated,instructional,5,0,0.0,0.32690932,0.44704655,0.13629323,0.11691274192562737
based_llama_3.3_70b,mitigated,retrieval,5,0,0.0,0.318587026,0.39352766,0.1751943,0.08629694518538754
claude_3_haiku,mitigated,instructional,5,0,0.0,0.317941856,0.41069645,0.15217775,0.09821908869333995
gpt_4,mitigated,contextual,5,0,0.0,0.335100892,0.42622608,0.17746404,0.10264190326219658
based_claude_3_haiku,mitigated,retrieval,5,0,0.0,0.271781816,0.39352766,0.16123134,0.10826563315796052
